,Species,Host
11562,Novosphingobium phage N-AFCa0901-41,Novosphingobium
11563,Novosphingobium phage N-AFCa0901-42,Novosphingobium
11564,Novosphingobium phage N-AFNF0913-43,Novosphingobium
11565,Novosphingobium phage N-AFCM0913-47,Novosphingobium
11566,Novosphingobium phage N-AFCF0714-51,Novosphingobium
11567,Novosphingobium phage N-AFCM0714-52,Novosphingobium
11568,Novosphingobium phage N-AFNF0922-55,Novosphingobium
11569,Sphingomonas phage S-AFNF0615-61,Sphingomonas
11570,Sphingomonas phage S-AFCF0802-69,Sphingomonas
11571,Sphingomonas phage S-AFNF0810-70,Sphingomonas
11572,Sphingomonas phage S-AFCa0824-71,Sphingomonas
11573,Sphingomonas phage S-AFCa0901-72,Sphingomonas
11574,Novosphingobium phage N-AFCa0707-83,Novosphingobium
11575,Novosphingobium phage N-AFCa0714-84,Novosphingobium
11576,Novosphingobium phage N-AFCa0802-85,Novosphingobium
11577,Novosphingobium phage N-AFCM0802-86,Novosphingobium
11578,Novosphingobium phage N-AFCF0901-89,Novosphingobium
11579,Novosphingobium phage N-AFCa0901-90,Novosphingobium
11580,Novosphingobium phage N-AFCM0901-91,Novosphingobium
11581,Novosphingobium phage N-An-FWCa0913-92,Novosphingobium
11582,Corynebacterium virus P1201,Corynebacterium
11583,Enterococcus phage F4,Enterococcus
11584,Streptococcus virus Cp1,Streptococcus
11585,Lactococcus virus KSY1,Unknown
11586,Enterobacteria phage T5-D1,Enterobacterales
11587,Enterobacteria phage CUS-3,Escherichia coli RS218
11588,Enterobacteria phage A5,Enterobacterales
11589,Escherichia virus TLS,Unknown
11590,Lactococcus phage ul36.k1,Lactococcus lactis
11591,Lactococcus phage ul36.k1t1,Lactococcus lactis
11592,Lactococcus phage ul36.t1,Lactococcus lactis
11593,Lactococcus phage ul36.t1k1,Lactococcus lactis
11594,Lactococcus phage phismq86,Lactococcus
11595,Enterobacteria phage phi24B,Enterobacterales
11596,Staphylococcus virus 37,Unknown
11597,Enterobacteria phage K1A,Enterobacterales
11598,Ralstonia virus RSA1,Unknown
11599,Enterobacteria phage C-1,Enterobacterales
11600,Enterobacteria phage mEp332,Escherichia coli
11601,Enterobacteria phage HK244,Escherichia coli
11602,Enterobacteria phage CL707,Escherichia coli
11603,Enterobacteria phage mEp234,Escherichia coli
11604,Clostridium botulinum D phage,Clostridium botulinum D
11605,Clostridium virus phiC2,Unknown
11606,Salmonella phage SETP5,Salmonella enterica subsp. enterica serovar Enteritidis
11607,Salmonella phage SETP12,Salmonella enterica subsp. enterica serovar Enteritidis
11608,Salmonella phage SETP11,Salmonella enterica subsp. enterica serovar Enteritidis
11609,Salmonella phage SETP1,Salmonella enterica subsp. enterica serovar Enteritidis
11610,Salmonella phage SETP8,Salmonella enterica subsp. enterica serovar Enteritidis
11611,Salmonella phage SETP10,Salmonella enterica subsp. enterica serovar Enteritidis
11612,Salmonella phage SETP15,Salmonella enterica subsp. enterica serovar Enteritidis
11613,Salmonella phage SETP16,Salmonella enterica subsp. enterica serovar Enteritidis
11614,Salmonella phage SETP14,Salmonella enterica subsp. enterica serovar Enteritidis
11615,Sodalis phage phiSG1,Sodalis glossinidius
11616,Cyanophage Ma-LMM02,Unknown
11617,Cyanophage Ma-LMM03,Unknown
11618,Cyanophage Ma-HPM05,Unknown
11619,Wolbachia phage WO,Wolbachia endosymbiont of Blattella sp.
11620,Burkholderia virus BcepF1,Unknown
11621,Staphylococcus phage 812,Staphylococcus aureus
11622,Staphylococcus phage U16,Staphylococcus epidermidis
11623,Stenotrophomonas phage Smp14,Stenotrophomonas
11624,Phage h30,Unknown
11625,Yersinia virus Berlin,Yersinia pestis
11626,Lactococcus phage ul36,Lactococcus
11627,Staphylococcus virus 108PVL,Unknown
11628,Xanthomonas phage Xo411,Xanthomonas oryzae
11629,Staphylococcus virus CNPH82,Unknown
11630,Staphylococcus virus PH15,Unknown
11631,Pseudomonas virus DMS3,Unknown
11632,Geobacillus virus GBSV1,Geobacillus
11633,Wolbachia phage WO,Wolbachia endosymbiont of Leptopilina heterotoma
11634,Wolbachia phage WO,Wolbachia endosymbiont of Asobara rufescens
11635,Wolbachia phage WO,Wolbachia endosymbiont of Leptopilina guineinsis
11636,Wolbachia phage WO,Wolbachia endosymbiont of Drosophila simulans
11637,Wolbachia phage WO,Wolbachia endosymbiont of Encarsia formosa
11638,Wolbachia phage WO,Wolbachia endosymbiont of Adalia bipunctata
11639,Wolbachia phage WO,Wolbachia endosymbiont of Trichopria drosophilae
11640,Wolbachia phage WO,Wolbachia endosymbiont of Leptopilina clavipes
11641,Wolbachia phage WO,Wolbachia endosymbiont of Hypolimnas bolina
11642,Wolbachia phage WO,Wolbachia endosymbiont of Muscidifurax uniraptor
11643,Escherichia virus N4,Escherichia coli K-12
11644,Burkholderia virus phi52237,Burkholderia
11645,Enterobacteria phage MV SS,Enterobacterales
11646,Ralstonia virus RSS1,Ralstonia
11647,Escherichia virus RB32,Escherichia
11648,Enterobacteria phage LZ1,Enterobacterales
11649,Enterobacteria phage LZ4,Enterobacterales
11650,Enterobacteria phage LZ6,Enterobacterales
11651,Phage LZ11,Unknown
11652,Enterobacteria phage M1,Enterobacterales
11653,Enterobacteria phage K3,Enterobacterales
11654,Enterobacteria phage Ox2,Enterobacterales
11655,Lactococcus virus P008,Unknown
11656,Lactococcus virus 712,Unknown
11657,Lactococcus virus jj50,Unknown
11658,Enterobacteria phage T2H,Enterobacterales
11659,Lactococcus phage Q33,Lactococcus
11660,Lactococcus phage ul36.13,Lactococcus
11661,Phormidium virus WMP4,Unknown
11662,Streptomyces phage phiK38-1,Streptomyces
11663,Streptomyces virus TG1,Unknown
11664,Klebsiella phage KPP95,Klebsiella
11665,Escherichia virus T4,Bacillus thuringiensis
11666,Salmonella phage A10a,Salmonella enterica subsp. enterica serovar Typhimurium
11667,Streptococcus phage MM1 1998,Streptococcus pneumoniae
11668,Phormidium phage P4,Phormidium
11669,Listeria phage phiLM4,Listeria
11670,Escherichia virus 186,Unknown
11671,Lactobacillus phage mv4,Lactobacillus delbrueckii
11672,Mycobacterium virus 244,Unknown
11673,Mycobacterium virus Che12,Unknown
11674,Mycobacterium virus PMC,Unknown
11675,Lactococcus phage CB17,Lactococcus
11676,Lactococcus phage GR6,Lactococcus
11677,Aeromonas virus 25,Unknown
11678,Cyanophage AN-15,Unknown
11679,Cyanophage A-1(L),Unknown
11680,Anabaena phage N-1,Anabaena
11681,Wolbachia phage WO,Wolbachia endosymbiont of Supella longipalpa
11682,Enterobacteria phage MV9,Enterobacterales
11683,Enterobacteria phage MV13,Enterobacterales
11684,Enterobacteria phage MV12,Enterobacterales
11685,Enterobacteria phage MV 72,Enterobacterales
11686,Enterobacteria phage MV14,Enterobacterales
11687,Prochlorococcus cyanophage P-SSM10,Unknown
11688,Synechococcus phage S,Unknown
11689,Prochlorococcus cyanophage P-SSM9,Unknown
11690,Prochlorococcus cyanophage P-SSM12,Unknown
11691,Prochlorococcus cyanophage P-SSM3,Unknown
11692,Prochlorococcus cyanophage P-RSM5,Unknown
11693,Prochlorococcus cyanophage P-SSM8,Unknown
11694,Prochlorococcus cyanophage P-RSM2,Unknown
11695,Prochlorococcus cyanophage P-RSM3,Unknown
11696,Prochlorococcus phage P-SSP6,Prochlorococcus
11697,Prochlorococcus phage P-SSP3,Prochlorococcus
11698,Prochlorococcus phage P-GSP1,Prochlorococcus
11699,Synechococcus cyanophage syn30,Unknown
11700,Synechococcus cyanophage syn1,Unknown
11701,Synechococcus cyanophage syn19,Unknown
11702,Synechococcus cyanophage syn33,Unknown
11703,Synechococcus cyanophage syn10,Unknown
11704,Synechococcus cyanophage syn26,Unknown
11705,Prochlorococcus cyanophage P-SSM1,Unknown
11706,Escherichia virus P2,Enterobacterales
11707,Enterobacteria phage MV BS,Enterobacterales
11708,Pseudomonas virus PRD1,Acinetobacter calcoaceticus
11709,Escherichia virus P1,Enterobacterales
11710,Lactococcus phage HD9,Lactococcus
11711,Lactococcus phage HD10,Lactococcus
11712,Lactococcus phage SL5,Lactococcus
11713,Lactococcus phage SL3,Lactococcus
11714,Lactococcus phage Q64,Lactococcus
11715,Lactococcus phage Q63,Lactococcus
11716,Lactococcus phage HD12,Lactococcus
11717,Lactococcus phage HD11,Lactococcus
11718,Lactococcus phage HD18,Lactococcus
11719,Lactococcus phage HD17,Lactococcus
11720,Lactococcus phage HD16,Lactococcus
11721,Lactococcus phage SL2,Lactococcus
11722,Lactococcus phage SL12,Lactococcus
11723,Lactococcus phage SL11,Lactococcus
11724,Lactococcus phage SL10,Lactococcus
11725,Lactococcus phage Q62,Lactococcus
11726,Lactococcus phage Q51,Lactococcus
11727,Lactococcus phage Q50,Lactococcus
11728,Lactococcus phage HD15,Lactococcus
11729,Lactococcus phage HD14,Lactococcus
11730,Lactococcus phage HD21,Lactococcus
11731,Lactococcus phage HD20,Lactococcus
11732,Lactococcus phage HD19,Lactococcus
11733,Lactococcus phage Q41,Lactococcus
11734,Lactococcus phage Q40,Lactococcus
11735,Lactococcus phage Q39,Lactococcus
11736,Lactococcus phage Q46,Lactococcus
11737,Lactococcus phage Q43,Lactococcus
11738,Lactococcus phage 1727,Lactococcus
11739,Lactococcus phage Q37,Lactococcus
11740,Lactococcus phage Q34,Lactococcus
11741,Lactococcus phage Q23,Lactococcus
11742,Lactococcus phage HD8,Lactococcus
11743,Lactococcus phage HD6,Lactococcus
11744,Lactococcus phage Q68,Lactococcus
11745,Lactococcus phage Q67,Lactococcus
11746,Lactococcus phage Q66,Lactococcus
11747,Lactococcus phage Q65,Lactococcus
11748,Lactococcus phage SL9,Lactococcus
11749,Lactococcus phage SL6,Lactococcus
11750,Lactococcus phage HD5,Lactococcus
11751,Lactococcus phage HD3,Lactococcus
11752,Lactococcus phage HD22,Lactococcus
11753,Salmonella phage A1,Salmonella enterica subsp. enterica serovar Typhimurium
11754,Salmonella phage A18a,Salmonella enterica subsp. enterica serovar Typhimurium
11755,Clostridium virus phiCD119,Unknown
11756,Synechococcus phage S,Synechococcus
11757,Phage 258-320,Escherichia coli
11758,Burkholderia virus BcepNazgul,Burkholderia
11759,Microcystis virus Ma-LMM01,Microcystis aeruginosa
11760,Streptococcus phage 700P1,Streptococcus uberis
11761,Bartonella henselae phage 60457,Canis lupus familiaris
11762,Escherichia virus alpha3,Escherichia
11763,Escherichia virus Talmos,Escherichia
11764,Enterobacteria phage WA13 sensu lato,Enterobacterales
11765,Enterobacteria phage phiX174 sensu lato,Enterobacterales
11766,Escherichia virus G4,Enterobacterales
11767,Bacillus virus Wbeta,Bacillus cereus ATCC 4342
11768,Bacillus phage Gamma isolate d'Herelle,Bacillus cereus ATCC 4342
11769,Xanthomonas virus OP1,Xanthomonas
11770,Xanthomonas virus OP1,Xanthomonas oryzae
11771,Gordonia phage GTE5,Gordonia
11772,Cyanophage S-CBP1,Unknown
11773,Synechococcus phage S-CBM2,Synechococcus
11774,Cyanophage S-CBP3,Synechococcus
11775,Synechococcus phage S-CBM32,Synechococcus sp. WH 7805
11776,Cyanophage S-CBP2,Synechococcus
11777,Synechococcus phage S-CBM8,Synechococcus
11778,Synechococcus phage S-CBM68,Synechococcus
11779,Synechococcus phage S-CBM17,Synechococcus
11780,Synechococcus phage S-CBM66,Synechococcus
11781,Lactococcus phage TP901-1C,Lactococcus
11782,Bacillus phage Gamma,Bacillus cereus ATCC 4342
11783,Bacillus phage M2,Bacillus subtilis
11784,Bacillus phage Cherry,Bacillus cereus ATCC 4342
11785,Escherichia virus K1E,Unknown
11786,environmental halophage 1 AAJ-2005,Unknown
11787,Pseudomonas phage PPA5,Pseudomonas aeruginosa
11788,Bacillus phage Gamma,Bacillus anthracis
11789,Phage SK137,Streptococcus mitis
11790,Bordetella virus BPP1,Bordetella
11791,Burkholderia phage Bcep176,Burkholderia
11792,Lactobacillus rhamnosus Lc-Nu-like prophage,Unknown
11793,Bacillus phage Cherry,Bacillus anthracis
11794,Spiroplasma phage SVGII3,Unknown
11795,Enterobacteria phage K11,Klebsiella
11796,Enterobacteria phage TuIa,Escherichia coli
11797,Enterobacteria phage Lahn2,Escherichia coli
11798,Escherichia virus Jk06,Unknown
11799,Enterobacteria phage Nil3,Escherichia coli O157:H7
11800,Escherichia virus BF23,Unknown
11801,Vibriophage VP4,Unknown
11802,Escherichia virus RB16,Unknown
11803,Lactococcus phage c6A,Lactococcus
11804,Lactococcus phage 943,Lactococcus
11805,Lactococcus phage 5440,Lactococcus
11806,Lactococcus phage 5447,Lactococcus
11807,Lactococcus phage 5469,Lactococcus
11808,Xanthomonas phage Xp15,Xanthomonas
11809,Staphylococcus virus 66,Staphylococcus
11810,Staphylococcus virus 53,Unknown
11811,Staphylococcus virus 85,Unknown
11812,Staphylococcus virus 3a,Unknown
11813,Staphylococcus virus 42e,Unknown
11814,Staphylococcus virus 47,Unknown
11815,Staphylococcus virus EW,Unknown
11816,Staphylococcus virus 96,Unknown
11817,Staphylococcus phage ROSA,Staphylococcus
11818,Staphylococcus virus 71,Unknown
11819,Staphylococcus virus 55,Unknown
11820,Staphylococcus virus 29,Unknown
11821,Staphylococcus virus 52a,Unknown
11822,Staphylococcus virus 88,Unknown
11823,Staphylococcus virus 92,Unknown
11824,Staphylococcus virus X2,Unknown
11825,Staphylococcus virus Twort,Unknown
11826,Bacillus thuringiensis phage MZTP02,Bacillus thuringiensis
11827,Haemophilus phage S2,Enterococcus
11828,Lactobacillus virus phiJL1,Unknown
11829,Streptococcus phage MD2,Streptococcus
11830,Escherichia virus phiK,Escherichia coli
11831,Alphaproteobacteria virus phiJl001,Alphaproteobacteria
11832,Enterobacteria phage T2,Escherichia coli
11833,Escherichia virus RB32,Escherichia coli
11834,Enterobacteria phage K3,Escherichia coli
11835,Enterobacteria phage ES18,Enterobacterales
11836,Escherichia virus HK022,Escherichia coli
11837,Bacillus phage SF6,Bacillus subtilis
11838,Bacillus phage rho15,Bacillus subtilis
11839,Mycobacterium phage Ms6,Mycobacterium
11840,Synechococcus phage S-PWM4,Synechococcus
11841,Bacillus virus GIL16,Bacillus
11842,Oenococcus phage fOg44,Oenococcus oeni
11843,Wolbachia phage WO,Wolbachia endosymbiont of Armigeres kesseli
11844,Wolbachia phage WO,Wolbachia endosymbiont of Culex fuscocephala
11845,Wolbachia phage WO,Wolbachia endosymbiont of Culex gelidus
11846,Wolbachia phage WO,Wolbachia endosymbiont of Mansonia indiana
11847,Wolbachia phage WO,Wolbachia endosymbiont of Tripteroides aranoides
11848,Staphylococcus phage phiWMY,Staphylococcus
11849,Streptococcus phage B30,Streptococcus
11850,Stx1-converting phage phi-O153,Escherichia coli
11851,Staphylococcus virus 13,Pseudomonas
11852,Enterobacteria phage phiW39,Enterobacterales
11853,Escherichia phage D6,Escherichia
11854,Enterobacteria phage 82,Escherichia coli
11855,Shigella phage SfII,Shigella flexneri
11856,Pseudomonas virus F116,Unknown
11857,Enterobacteria phage 2851,Escherichia coli O157:H7
11858,Phage PhiI,Unknown
11859,Enterobacteria phage W31,Enterobacterales
11860,Lactobacillus virus LP65,Unknown
11861,Enterobacteria phage JS9,Escherichia coli
11862,Enterobacteria phage JSD2,Escherichia coli
11863,Enterobacteria phage JSD5,Escherichia coli
11864,Enterobacteria phage JSD1,Escherichia coli
11865,Enterobacteria phage JSD3,Escherichia coli
11866,Enterobacteria phage JSL5,Escherichia coli
11867,Enterobacteria phage 020324,Escherichia coli O157:H7
11868,Bacillus phage BCJA1c,Bacillus
11869,Lactobacillus phage AI15,Lactobacillus delbrueckii subsp. lactis
11870,Bacillus virus SPO1,Unknown
11871,Lactobacillus phage phigaY,Lactobacillus gasseri
11872,Vibrio virus KSF1,Vibrio
11873,Bartonella phage CO-04-1,Bartonella vinsonii
11874,Enterobacteria phage LZ3,Escherichia coli
11875,Enterobacteria phage LZ5,Escherichia coli
11876,Enterobacteria phage LZ4,Escherichia coli
11877,Enterobacteria phage LZ1,Escherichia coli
11878,Oenococcus phage fOg30,Oenococcus oeni
11879,Podovirus SOG,Unknown
11880,Podovirus GOM,Unknown
11881,Lactococcus phage phi-vML3,Lactococcus lactis
11882,Streptococcus phage phi1207.3,Streptococcus pyogenes
11883,Oenoccocus phage fOgPSU1,Oenococcus oeni
11884,Mycoplasma phage MAV1,Mycoplasma
11885,Enterobacteria phage A75,Escherichia coli O157:H7
11886,Enterobacteria phage A534,Escherichia coli O157:H7
11887,Enterobacteria phage A557,Escherichia coli O157:H7
11888,Enterobacteria phage O157-572,Escherichia coli O157:H7
11889,Enterobacteria phage VTB75,Escherichia coli
11890,Enterobacteria phage VTB91,Escherichia coli
11891,Enterobacteria phage VTB178,Escherichia coli O8:H19
11892,Enterobacteria phage VTB324,Escherichia coli
11893,Enterobacteria phage A312,Escherichia coli O157:H7
11894,Enterobacteria phage A315,Escherichia coli O157:H7
11895,Enterobacteria phage A549,Escherichia coli O157:H7
11896,Enterobacteria phage A580,Escherichia coli O157:H7
11897,Enterobacteria phage O157-292,Escherichia coli O157:H7
11898,Enterobacteria phage O157-330,Escherichia coli O157:H7
11899,Enterobacteria phage O157-310,Escherichia coli O157:H7
11900,Enterobacteria phage O157-379,Escherichia coli O157:H7
11901,Enterobacteria phage VTB323,Escherichia coli
11902,Enterobacteria phage VTB46,Escherichia coli
11903,Enterobacteria phage VTB60,Escherichia coli
11904,Enterobacteria phage A397,Escherichia coli O157:H7
11905,Enterobacteria phage O157-469,Escherichia coli O157:H7
11906,Phage TP,Unknown
11907,Enterobacteria phage BP-4795,Escherichia fergusonii
11908,Enterococcus sp. phage 1,Enterococcus sp.
11909,Cyanophage S-RSM88,Synechococcus
11910,Cyanophage S-BM4,Synechococcus
11911,Burkholderia virus BcepC6B,Unknown
11912,Cyanophage S-RSM28,Synechococcus
11913,Actinoplanes phage phiAsp2,Actinoplanes
11914,Burkholderia virus Bcep781,Unknown
11915,Burkholderia virus Bcep43,Unknown
11916,Burkholderia virus Bcep1,Unknown
11917,Phage mEp167,Unknown
11918,Chlamydia virus Chp2,Burkholderia pyrrocinia
11919,Wolbachia phage WOcauB1,Wolbachia sp. wCauB
11920,Pseudomonas phage PaP2,Pseudomonas
11921,Vibrio phage 1,Vibrio
11922,Salmonella phage ST64B,Salmonella
11923,Klebsiella phage KPP95,Klebsiella pneumoniae
11924,Oenococcus phage fOg44,Oenococcus
11925,Bacillus phage 1102phi1-3,Bacillus
11926,Salmonella virus SP6,Unknown
11927,Escherichia virus K1-5,Escherichia
11928,Vibrio virus VP2,Vibrio
11929,Leptospira phage LE1,Leptospira
11930,Streptococcus phage kappa3,Streptococcus
11931,Lactobacillus phage f-0303,Lactobacillus
11932,Lactobacillus prophage Lj928,Unknown
11933,Lactobacillus prophage Lj965,Unknown
11934,Salmonella virus PsP3,Unknown
11935,Bacillus virus phi29,Bacillus amyloliquefaciens
11936,Vibrio virus KVP40,Vibrio
11937,Salmonella phage 5,Salmonella enterica subsp. enterica serovar Heidelberg
11938,Myxococcus phage Mx9,Myxococcus
11939,Vibrio phage VP16C,Vibrio
11940,Burkholderia virus phiE125,Unknown
11941,Mycobacterium virus Bxz2,Mycobacterium
11942,Lactococcus phage jw31,Lactococcus
11943,Lactococcus phage jw32,Lactococcus
11944,Lactococcus phage bIL66,Lactococcus
11945,Lactococcus lactis phage 7,Lactococcus lactis
11946,Lactococcus lactis phage jw30,Lactococcus lactis
11947,Podovirus A107K,Unknown
11948,Cyanophage S-RIM,Synechococcus sp.
11949,Lactobacillus phage Lc-Nu,Lactobacillus
11950,Enterobacteria phage phi21,Enterobacterales
11951,Pseudomonas virus phiKMV,Pseudomonas
11952,Mycobacterium virus L5,Mycobacterium
11953,Streptococcus virus C1,Streptococcus
11954,Yersinia phage phiA1122,Yersinia
11955,Burkholderia phage PC42,Burkholderia
11956,Mycobacterium phage L1,Mycobacterium
11957,Yersinia virus L413C,Unknown
11958,Bacillus virus Bastille,Bacillus
11959,Vibrio virus VGJ,Vibrio
11960,Lactococcus phage bIL66M1,Lactococcus
11961,Mycobacterium virus Corndog,Unknown
11962,Mycobacterium virus Che8,Unknown
11963,Mycobacterium virus Che9c,Unknown
11964,Staphylococcus virus 44AHJD,Unknown
11965,Escherichia virus T4,Escherichia
11966,Streptomyces virus phiBT1,Unknown
11967,Vibrio phage f237,Vibrio
11968,Escherichia virus AR1,Escherichia
11969,Micromonospora phage pMLP1,Micromonospora sp. ATCC 39149
11970,Escherichia coli phage EH297,Escherichia coli
11971,Cyanophage S-KM1,Synechococcus sp. KFM001
11972,Mycobacterium phage L1,Mycolicibacterium smegmatis
11973,Enterobacteria phage RB26,Enterobacterales
11974,Lactococcus phage CHL92,Lactococcus lactis
11975,Vibrio virus VHML,Vibrio
11976,Staphylococcus phage phi77,Staphylococcus aureus
11977,Salmonella phage MB78,Salmonella
11978,Lactococcus phage BK5-T,Lactococcus
11979,Vibrio phage Ch457,Vibrio cholerae
11980,Vibrio phage E8498,Vibrio cholerae
11981,Vibrio phage O395,Vibrio cholerae O395
11982,Enterobacteria phage LC159,Escherichia coli O157:H7
11983,Enterobacteria phage SC370,Escherichia coli O157:H7
11984,Salmonella virus ST64T,Unknown
11985,Enterobacteria phage Lahn3,Escherichia coli
11986,Enterobacteria phage Lahn1,Escherichia coli
11987,Enterobacteria phage Nil2,Escherichia coli
11988,Lactococcus phage 4268,Lactococcus
11989,Salmonella virus P22,Salmonella enterica
11990,Xanthomonas virus Xp10,Xanthomonas campestris
11991,Streptococcus phage phisc1,Streptococcus canis
11992,Enterobacteria phage RB30,Enterobacterales
11993,Lactococcus virus bIL170,Unknown
11994,Streptococcus phage VO1,Streptococcus pneumoniae
11995,Staphylococcus virus 187,Staphylococcus aureus subsp. aureus PS187
11996,Staphylococcus phage phi3A,Staphylococcus aureus
11997,Staphylococcus phage phi 53,Staphylococcus aureus
11998,Cyanophage phi12,Unknown
11999,Vibrio phage nt-1 sensu lato,Vibrio
12000,Escherichia virus T7,Escherichia coli str. K-12 substr. W3110
12001,Enterobacteria phage P4,Dickeya chrysanthemi
12002,Listeria phage U153,Listeria monocytogenes
12003,Salmonella phage MB78,Salmonella enterica subsp. enterica serovar Typhimurium
12004,Cyanophage clone GS2701,Unknown
12005,Cyanophage clone GS2704,Unknown
12006,Cyanophage clone GS2705,Unknown
12007,Cyanophage clone GS2707,Unknown
12008,Cyanophage clone GS2708,Unknown
12009,Cyanophage clone GS2711,Unknown
12010,Cyanophage clone GS2712,Unknown
12011,Cyanophage clone GS2713,Unknown
12012,Cyanophage clone GS2714,Unknown
12013,Cyanophage clone GS2717,Unknown
12014,Cyanophage clone GS2721,Unknown
12015,Cyanophage clone GS2723,Unknown
12016,Cyanophage clone GS2732,Unknown
12017,Cyanophage clone GS2733,Unknown
12018,Cyanophage clone GS2734,Unknown
12019,Cyanophage clone GS2735,Unknown
12020,Cyanophage clone GS2736,Unknown
12021,Cyanophage clone GS2737,Unknown
12022,Cyanophage clone GS2738,Unknown
12023,Cyanophage clone GS2739,Unknown
12024,Cyanophage clone GS2745,Unknown
12025,Cyanophage clone GS2747,Unknown
12026,Cyanophage clone GS2748,Unknown
12027,Cyanophage clone SS4016,Unknown
12028,Cyanophage clone SS4017,Unknown
12029,Cyanophage clone SS4018,Unknown
12030,Cyanophage clone SS4019,Unknown
12031,Cyanophage clone SS4020,Unknown
12032,Cyanophage clone SS4021,Unknown
12033,Cyanophage clone SS4026,Unknown
12034,Cyanophage clone SS4027,Unknown
12035,Cyanophage clone SS4028,Unknown
12036,Cyanophage clone SS4029,Unknown
12037,Cyanophage clone SS4033,Unknown
12038,Cyanophage clone SS4036,Unknown
12039,Cyanophage clone SS4038,Unknown
12040,Cyanophage clone SS4041,Unknown
12041,Cyanophage clone SS4042,Unknown
12042,Cyanophage clone SS4046,Unknown
12043,Cyanophage clone SS4051,Unknown
12044,Cyanophage clone SS4055,Unknown
12045,Cyanophage clone SS4059,Unknown
12046,Cyanophage clone SS4061,Unknown
12047,Cyanophage clone SS4064,Unknown
12048,Cyanophage clone SS4065,Unknown
12049,Cyanophage clone SS4066,Unknown
12050,Cyanophage clone SS4067,Unknown
12051,Cyanophage clone SS4073,Unknown
12052,Cyanophage clone SS4074,Unknown
12053,Lactococcus phage bIL120,Lactococcus
12054,Lactococcus phage bIL15,Lactococcus
12055,Lactococcus phage bIL191,Lactococcus
12056,Lactococcus phage bIL77,Lactococcus
12057,Propionibacterium virus B5,Propionibacterium
12058,Lactococcus phage 409,Lactococcus lactis
12059,Lactococcus phage F7/2,Lactococcus lactis
12060,Cyanophage clone SE1,Unknown
12061,Cyanophage clone SE2,Unknown
12062,Cyanophage clone SE3,Unknown
12063,Cyanophage clone SE4,Unknown
12064,Cyanophage clone SE5,Unknown
12065,Cyanophage clone SE6,Unknown
12066,Cyanophage clone SE7,Unknown
12067,Cyanophage clone SE8,Unknown
12068,Cyanophage clone SE11,Unknown
12069,Cyanophage clone SE12,Unknown
12070,Cyanophage clone SE9,Unknown
12071,Cyanophage clone SE13,Unknown
12072,Cyanophage clone SE14,Unknown
12073,Cyanophage clone SE15,Unknown
12074,Cyanophage clone SE17,Unknown
12075,Cyanophage clone SE18,Unknown
12076,Cyanophage clone SE19,Unknown
12077,Cyanophage clone SE21,Unknown
12078,Cyanophage clone SE22,Unknown
12079,Cyanophage clone SE24,Unknown
12080,Cyanophage clone SE26,Unknown
12081,Cyanophage clone SE27,Unknown
12082,Cyanophage clone SE29,Unknown
12083,Cyanophage clone SE31,Unknown
12084,Cyanophage clone SE34,Unknown
12085,Cyanophage clone SE36,Unknown
12086,Cyanophage clone SE37,Unknown
12087,Cyanophage clone SE38,Unknown
12088,Cyanophage clone SE39,Unknown
12089,Cyanophage clone SS4701,Unknown
12090,Cyanophage clone SS4702,Unknown
12091,Cyanophage clone SS4703,Unknown
12092,Cyanophage clone SS4705,Unknown
12093,Cyanophage clone SS4706,Unknown
12094,Cyanophage clone SS4707,Unknown
12095,Cyanophage clone SS4710,Unknown
12096,Cyanophage clone SS4713,Unknown
12097,Cyanophage clone SS4714,Unknown
12098,Cyanophage clone SS4715,Unknown
12099,Cyanophage clone SS4716,Unknown
12100,Cyanophage clone SS4717,Unknown
12101,Cyanophage clone SS4718,Unknown
12102,Cyanophage clone SS4720,Unknown
12103,Cyanophage clone SS4723,Unknown
12104,Cyanophage clone SS4725,Unknown
12105,Cyanophage clone SS4726,Unknown
12106,Cyanophage clone SS4729,Unknown
12107,Cyanophage clone SS4731,Unknown
12108,Cyanophage clone SS4733,Unknown
12109,Cyanophage clone SS4734,Unknown
12110,Cyanophage clone SS4736,Unknown
12111,Cyanophage clone SS4737,Unknown
12112,Cyanophage clone SS4738,Unknown
12113,Cyanophage clone SS4803,Unknown
12114,Cyanophage clone SS4804,Unknown
12115,Cyanophage clone SS4805,Unknown
12116,Cyanophage clone SS4809,Unknown
12117,Cyanophage clone SS4810,Unknown
12118,Cyanophage clone SS4813,Unknown
12119,Cyanophage clone SS4814,Unknown
12120,Cyanophage clone SS4821,Unknown
12121,Cyanophage clone SS4824,Unknown
12122,Cyanophage clone SS4827,Unknown
12123,Cyanophage clone SS4829,Unknown
12124,Cyanophage clone SS4832,Unknown
12125,Cyanophage clone SS4838,Unknown
12126,Cyanophage clone SS4845,Unknown
12127,Cyanophage clone SS4850,Unknown
12128,Staphylococcus virus 11,Staphylococcus aureus
12129,Staphylococcus virus phi12,Staphylococcus aureus
12130,Staphylococcus virus 13,Staphylococcus aureus
12131,Streptococcus phage k3,Streptococcus
12132,Lactobacillus phage PL-2,Lactobacillus
12133,Synechococcus phage 27A,Synechococcus sp. WH 7803
12134,Synechococcus phage 31B,Synechococcus sp. WH 7803
12135,Synechococcus phage 32A,Synechococcus
12136,Synechococcus phage 44A,Synechococcus sp. WH 7803
